VALUE,BPS_CODE,BPS_MODEL,BPS_NAME,GROUPVEG,FRI_REPLAC,FRI_MIXED,FRI_SURFAC,FRI_ALLFIR,PRC_REPLAC,PRC_MIXED,PRC_SURFAC,FRG_NEW
631,10550,10550_1_8_9,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,232,248,NA,120,52,48,NA,III-B
632,10560,10560_1_7_8_9,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,120,415,NA,93,78,22,NA,III-A
633,10610,10610_8_9_17,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,68,44,NA,27,39,61,NA,I-C
634,10620,10620_7_9,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Shrubland,243,213,244,77,32,36,32,III-A
637,10800,10800_1_7_8_9,Inter-Mountain Basins Big Sagebrush Shrubland,Shrubland,101,NA,NA,101,100,NA,NA,IV-B
638,10810,10810_7_8_9,Inter-Mountain Basins Mixed Salt Desert Scrub,Shrubland,698,NA,NA,698,100,NA,NA,V-B
639,11060,11060_1_8_9,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,41,NA,NA,41,100,NA,NA,IV-A
640,11230,11230_1_7_8_9,Columbia Plateau Steppe and Grassland,Grassland,39,NA,NA,39,100,NA,NA,IV-A
641,11240,11240_1_7_8_9,Columbia Plateau Low Sagebrush Steppe,Shrubland,222,NA,NA,222,100,NA,NA,V-A
644,11270,11270_7_8_9,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,212,NA,NA,212,100,NA,NA,V-A
645,11340,11340_8_9,Columbia Basin Foothill and Canyon Dry Grassland,Grassland,21,16,NA,9,43,57,NA,I-B
647,11390,11390_8_9,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,44,186,NA,35,81,19,NA,II-C
648,11400,11400_9,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,675,1495,NA,464,69,31,NA,V-A
652,11530,11530_7_8_9,Inter-Mountain Basins Greasewood Flat,Shrubland,1019,NA,NA,1019,100,NA,NA,V-B
653,11540,11540_1_7_8_9,Inter-Mountain Basins Montane Riparian Systems,Riparian,99,NA,NA,99,100,NA,NA,IV-A
654,11590,11590_8_9,Rocky Mountain Montane Riparian Systems,Riparian,99,100,NA,50,50,50,NA,III-A
655,11600,11600_8_9,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,200,133,NA,80,40,60,NA,III-A
657,11650,11650_9,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,204,149,23,18,9,12,79,I-C
659,11670,11670_1_7_9,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,111,113,NA,56,50,50,NA,III-A
680,11420,11420_8,Columbia Basin Palouse Prairie,Grassland,25,NA,64,18,72,NA,28,II-C
685,11650,11650_1_7_8,Northern Rocky Mountain Foothill Conifer Wooded Steppe,Conifer,124,397,126,54,43,14,43,III-A
686,10110,10110_21,Rocky Mountain Aspen Forest and Woodland,Hardwood,110,NA,NA,110,100,NA,NA,IV-B
687,10120,10120_17_18_21,Rocky Mountain Bigtooth Maple Ravine Woodland,Hardwood,135,81,NA,51,37,63,NA,III-A
688,10450,10450_21,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Conifer,76,108,270,38,50,36,14,III-A
689,10460,10460_21,Northern Rocky Mountain Subalpine Woodland and Parkland,Conifer,515,324,NA,199,39,61,NA,III-B
691,10510,10510_18_21,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Conifer,90,77,14,11,12,14,74,I-B
692,10520,10520_21,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Conifer,185,90,72,33,18,37,45,I-C
693,10550,10550_21_22,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,333,NA,NA,333,100,NA,NA,V-A
694,10560,10560_21_22,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,432,895,NA,291,67,33,NA,V-A
696,10700,10700_21,Rocky Mountain Alpine Dwarf-Shrubland,Shrubland,566,NA,NA,566,100,NA,NA,V-B
697,10801,10801_21_22_28,Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush,Shrubland,72,NA,NA,72,100,NA,NA,IV-A
698,10802,10802_21_22_28,Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush,Shrubland,98,NA,NA,98,100,NA,NA,IV-A
701,11060,11060_20_21_29,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrubland,79,NA,NA,79,100,NA,NA,IV-A
702,11150,11150_21_22,Inter-Mountain Basins Juniper Savanna,Conifer,355,212,123,64,18,30,52,III-A
704,11260,11260_21,Inter-Mountain Basins Montane Sagebrush Steppe,Shrubland,50,NA,NA,50,100,NA,NA,IV-A
705,11270,11270_21,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrubland,217,NA,NA,217,100,NA,NA,V-A
706,11390,11390_21,Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland,Grassland,32,NA,NA,32,100,NA,NA,II-C
707,11400,11400_21,Northern Rocky Mountain Subalpine-Upper Montane Grassland,Grassland,206,NA,NA,206,100,NA,NA,V-A
709,11440,11440_21_22,Rocky Mountain Alpine Turf,Grassland,515,NA,NA,515,100,NA,NA,V-B
710,11450,11450_21,Rocky Mountain Subalpine-Montane Mesic Meadow,Grassland,40,NA,NA,40,100,NA,NA,IV-A
712,11590,11590_21,Rocky Mountain Montane Riparian Systems,Riparian,180,NA,NA,180,100,NA,NA,IV-B
713,11600,11600_21,Rocky Mountain Subalpine/Upper Montane Riparian Systems,Riparian,335,2775,NA,299,89,11,NA,V-A
714,11610,11610_21,Northern Rocky Mountain Conifer Swamp,Conifer,401,NA,NA,401,100,NA,NA,V-A
715,11660,11660_21,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Conifer,296,46,NA,40,14,86,NA,III-A
716,11670,11670_21,Rocky Mountain Poor-Site Lodgepole Pine Forest,Conifer,324,551,NA,204,63,37,NA,V-A
718,10030,10030,North Pacific Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
721,10180,10180_1_7,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Conifer,253,129,276,65,26,50,24,III-A
722,10350,10350_1_2_7,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Conifer,367,70,90,35,10,50,40,I-C
723,10360,10360_1_2,North Pacific Hypermaritime Sitka Spruce Forest,Conifer,657,NA,NA,657,100,NA,NA,V-B
724,10370,10370_1_2_7,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Conifer,336,105,NA,80,24,76,NA,III-A
725,10380,10380_1_7,North Pacific Maritime Mesic Subalpine Parkland,Conifer,5183,NA,NA,5183,100,NA,NA,V-B
727,10411,10411_1_7,North Pacific Mountain Hemlock Forest-Wet,Conifer,10910,5135,NA,3461,32,68,NA,V-B
728,10412,10412_1_7,North Pacific Mountain Hemlock Forest-Xeric,Conifer,294,615,1001,166,56,27,17,III-B
729,10420,10420_1_7,North Pacific Mesic Western Hemlock-Silver Fir Forest,Conifer,3606,1742,NA,1172,33,67,NA,V-B
735,10600,10600_1_2_7,East Cascades Oak-Ponderosa Pine Forest and Woodland,Conifer,383,644,31,28,7,4,89,I-C
736,10630,10630_1,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,457,915,NA,304,67,33,NA,V-A
738,10680,10680_1_7,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrubland,NA,NA,NA,NA,NA,NA,NA,NA
740,10830,10830_1,North Pacific Avalanche Chute Shrubland,Shrubland,998,NA,NA,998,100,NA,NA,V-B
741,10840,10840_1,North Pacific Montane Shrubland,Shrubland,10975,NA,NA,10975,100,NA,NA,V-B
743,11200,11200_1_2_7,Willamette Valley Upland Prairie and Savanna,Hardwood,288,50,13,10,4,19,77,I-B
748,11380,11380_1,North Pacific Montane Grassland,Grassland,771,NA,NA,771,100,NA,NA,V-B
750,11560,11560_1_2_7,North Pacific Lowland Riparian Forest and Shrubland,Riparian,749,NA,NA,749,100,NA,NA,V-B
751,11570,11570_1_2,North Pacific Swamp Systems,Riparian,NA,NA,NA,NA,NA,NA,NA,NA
752,11581,11581_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Wet,Riparian,1888,1598,NA,865,46,54,NA,V-B
753,11582,11582_1_2_7,North Pacific Montane Riparian Woodland and Shrubland-Dry,Riparian,465,233,NA,155,33,67,NA,III-B
756,11710,11710_1,North Pacific Alpine and Subalpine Dry Grassland,Grassland,504,NA,NA,504,100,NA,NA,V-B
757,11730,11730_1_7,North Pacific Wooded Volcanic Flowage,Conifer,497,NA,NA,497,100,NA,NA,V-A
758,11740,11740_1_7,North Pacific Dry-Mesic Silver Fir-Western Hemlock-Douglas-fir Forest,Conifer,334,308,NA,160,48,52,NA,III-B
759,11780,11780_1_2_7,North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,Conifer,NA,NA,NA,NA,NA,NA,NA,NA
776,10630,10630_2_7,North Pacific Broadleaf Landslide Forest and Shrubland,Hardwood,100,498,NA,83,83,17,NA,IV-A
791,10110,10110_7,Rocky Mountain Aspen Forest and Woodland,Hardwood,125,100,NA,56,45,55,NA,III-A
801,10310,10310_7,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Conifer,200,118,26,19,10,16,74,I-C
819,10580,10580_7,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Conifer,91,NA,650,80,88,NA,12,IV-A
827,10980,10980_7,California Montane Woodland and Chaparral,Shrubland,49,197,234,34,68,17,15,II-C
847,11710,11710_7,North Pacific Alpine and Subalpine Dry Grassland,Grassland,203,NA,NA,203,100,NA,NA,V-A
848,11720,11720_7,Sierran-Intermontane Desert Western White Pine-White Fir Woodland,Conifer,202,65,45,24,12,36,52,I-C
852,10070,10070,Western Great Plains Sparsely Vegetated Systems,Sparse,NA,NA,NA,NA,NA,NA,NA,NA
853,10110,10110_20_29,Rocky Mountain Aspen Forest and Woodland,Hardwood,121,588,NA,100,83,17,NA,IV-A
854,10451,10451_20,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Ponderosa Pine-Douglas-fir,Conifer,163,51,43,20,13,40,47,I-C
855,10454,10454_20,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest-Lodgepole Pine,Conifer,145,277,387,77,52,28,20,III-A
858,10540,10540_20,Southern Rocky Mountain Ponderosa Pine Woodland,Conifer,232,77,19,14,6,18,76,I-B
859,10550,10550_20,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Conifer,136,383,NA,100,74,26,NA,III-A
860,10560,10560_20,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Conifer,216,2915,NA,201,93,7,NA,V-A
861,10610,10610_20_29,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Hardwood-Conifer,118,102,NA,54,46,54,NA,III-A
862,10850,10850_20,Northwestern Great Plains Shrubland,Shrubland,30,NA,NA,30,100,NA,NA,II-C
